18440.4712615741	0	-53.936	5.746	0.000	0.000	-0.1893495	-0.4397590
18440.5962615741	1	-53.943	5.743	-0.065	-0.030	-0.1898098	-0.4516880
18440.7212615741	1	-53.949	5.740	-0.065	-0.030	-0.1905080	-0.4628643
18440.8462615741	1	-53.944	5.743	0.052	0.036	-0.1935495	-0.4644246
18440.9712615741	1	-53.940	5.743	0.037	0.001	-0.1963639	-0.4667900
18441.0962615741	1	-53.937	5.743	0.037	0.001	-0.1975439	-0.4587162
18441.2212615741	1	-53.933	5.744	0.037	0.001	-0.1985257	-0.4463797
18441.3462615741	1	-53.933	5.744	-0.000	0.006	-0.1986651	-0.4376199
18441.4712615741	1	-53.935	5.755	-0.017	0.114	-0.1983697	-0.4306463
18441.5962615741	1	-53.936	5.766	-0.017	0.114	-0.1982848	-0.4227785
18441.7212615741	1	-53.938	5.777	-0.017	0.114	-0.1979735	-0.4158024
18441.8462615741	1	-53.940	5.788	-0.017	0.114	-0.1976532	-0.4088249
18441.9712615741	0	-53.946	5.805	-0.065	0.170	-0.1964178	-0.4054127
18442.0962615741	0	-53.959	5.832	-0.137	0.276	-0.1840462	-0.4081682
18442.2212615741	0	-53.974	5.860	-0.151	0.290	-0.1686223	-0.4126088
18442.3462615741	0	-53.990	5.889	-0.161	0.302	-0.1532763	-0.4178459
18442.4712615741	0	-54.016	5.932	-0.265	0.444	-0.1463412	-0.4206742
18442.5962615741	0	-54.051	5.988	-0.362	0.573	-0.1446512	-0.4243557
18442.7212615741	0	-54.088	6.046	-0.381	0.600	-0.1415816	-0.4307797
18442.8462615741	0	-54.128	6.107	-0.407	0.633	-0.1364399	-0.4407001
18442.9712615741	0	-54.172	6.174	-0.456	0.688	-0.1283541	-0.4545642
18443.0962615741	0	-54.216	6.243	-0.450	0.707	-0.1236159	-0.4631219
18443.2212615741	0	-54.257	6.313	-0.422	0.726	-0.1251440	-0.4415209
18443.3462615741	0	-54.291	6.390	-0.349	0.796	-0.1281634	-0.4084801
18443.4712615741	1	-54.308	6.430	-0.168	0.407	-0.1329444	-0.3873690
18443.5962615741	1	-54.324	6.469	-0.168	0.407	-0.1382901	-0.3662996
18443.7212615741	1	-54.341	6.509	-0.168	0.407	-0.1426641	-0.3446198
18443.8462615741	1	-54.357	6.548	-0.168	0.407	-0.1465878	-0.3225269
18443.9712615741	0	-54.382	6.592	-0.254	0.447	-0.1518291	-0.2923365
18444.0962615741	0	-54.404	6.627	-0.231	0.361	-0.1534815	-0.2664955
18444.2212615741	0	-54.425	6.662	-0.213	0.362	-0.1541689	-0.2401228
18444.3462615741	0	-54.442	6.697	-0.176	0.365	-0.1582270	-0.2108376
18444.4712615741	1	-54.464	6.732	-0.220	0.360	-0.1578410	-0.1838814
18444.5962615741	1	-54.485	6.767	-0.220	0.360	-0.1581760	-0.1556877
18444.7212615741	1	-54.507	6.802	-0.220	0.360	-0.1574675	-0.1273210
18444.8462615741	1	-54.528	6.837	-0.220	0.360	-0.1574294	-0.0976924
18444.9712615741	0	-54.524	6.888	0.047	0.526	-0.1856150	-0.0380846
18445.0962615741	0	-54.521	6.945	0.034	0.585	-0.2298862	0.0103861
